Job Title,Company Name,Location,Publishing Date,Job Type,Skills,Job Requirements
Backend Engineer - Python/Django,Paymob Solutions -,"Maadi, Cairo, Egypt ",Posted 2 months ago,Full Time,Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Python · Django · AWS · Web Services · Computer Science · Software Development,RequirementsMinimum 2 years of solid experience as a Python Developer.Experience with Python framework Django for at least 2 years as well.Working in enterprise appsExperience with Amazon Web Services (AWS)Solid experience of databases and SQLExperience with PostgreSQLKnowledge of JavaScript and the ReactJS framework is a plusExperience with consuming REST APIs/JSON
,,,,,,
Senior Backend Developer,Div Systems -,"Mokattam, Cairo, Egypt ",Posted 3 days ago,Full Time,Full TimeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Microsoft TFS · JIRA · Github · Python · Django Framework · Communication skills · Computer Science · Information Technology (IT),"Extensive experience in agile methodologies (TFS, JIRA, GitHub, Python, Django) relevant software such as Postgres, MS SQL Server, and experience in react is an assetProven experience with application architectureProven knowledge of design patterns, distributed systems, and integration testingExcellent project management, problem-solving and high-level verbal and written communication skills"
,,,,,,
Fullstack Engineer (Remote),Gemography -,"Cairo, Egypt ",Posted 1 day ago,Full TimeWork From Home,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Node.js · MongoDB · React.js · HTML5 · CSS · Sass · Gulp.js,"3+ years of full-time work experience in software engineering or related domains.Proficiency in one or more backend server languages (Ruby/Python/Javascript/etc.)Comfortable working with multiple database systems and architectures (SQL, NoSQL)Proficiency with front-end languages such as HTML, CSS, and Typescript/JavascriptStrong analytical and problem-solving abilitiesExceptional attention to detail and focus on qualityStrong communication skills and interpersonal skillsPrior experience working with a globally distributed team is a plus"
,,,,,,
Senior Full Stack Developer,Div Systems -,"Mokattam, Cairo, Egypt ",Posted 12 days ago,Full Time,Full TimeExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django Framework · React js · SQL Server · SQL datasets · Information Technology (IT) · Computer Science · Django,"Strong knowledge of Python:( Python, Django)Understanding of front-end technologies, such as HTML5, and CSS3.Understanding of accessibility and security complianceExperience working with SQL datasetsAble to create database schemas that represent and support business processesBonus points if you have experience with: Node.js, Machine Learning / Big Data / Blockchain, and High Traffic / Real-Time Web Applications."
,,,,,,
Odoo Developer,Confidential -,"Nasr City, Cairo, Egypt ",Posted 9 days ago,Full Time,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML · Odoo Development · Odoo · Odoo ERP · python development · Python · Software Development · Software Engineering,"Qualifications and SkillsMinimum of 3 year of experience in Odoo development .Excellent knowledge of web development languages (HTML, CSS, JavaScript, JQuery).Knowledge of Python development frameworks & Linux systemKnowledge of frontend development languages is a great plus, Software development life cycle in an Agile environment.Ability to learn fast and execute accordingly.Outstanding communication and interpersonal abilitiesPatience and professionalismReliability and discretion: you will often learn of confidential mattersCommunication, negotiation and relationship-building skillsExcellent time management skills and the ability to prioritize workAttention to detail and problem-solving skillsExcellent written and verbal communication skillsStrong organizational skills with the ability to multi-taskExperience in integrating Odoo with Other Business Systems.Must Have Strong knowledge of Core Python and programming conceptsOptional PointsOfficial Odoo Development Certificate"
,,,,,,
Odoo Developer,Knowledge BI -,"Cairo, Egypt ",Posted 1 day ago,Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · males_preferred · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Programming · Odoo · Development · Python · Information Technology (IT) · jQuery · JavaScript,"Working experience with PythonAt least 2 years of experience of Odoo development specificationsStrong debugging and troubleshooting skillsStrong Technical Knowledge in Object-Oriented Programming Concepts and data structures.Develop apps/featuresUnderstand Relational databasesWorking experience with relational database design and modelingWorking experience with relational database management systems (PostgreSQL,)Expertise in HTML, XML, JavaScript, and JQuery.Solid expertise with GIT or equivalent source control system.Good knowledge of business processes.Experience in setup Odoo servers & databases.Experience in data migration in OdooObject-oriented programming, object modeling, and relational databaseQuick & Autonomous learnerGood speaking &understanding of English  reading & writing"
,,,,,,
Full Stack (Growth) Engineer,Studygram Worldwide -,"New Cairo, Cairo, Egypt ",Posted 5 days ago,Full Time,Full TimeEntry Level · 0 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Computer Science · Marketing · Social Media · HTML · CSS · APIs · MySQL,"Bachelor degree in computer science or computer engineering0 - 5 years experience will be consideredExcellent analytical and problem-solving skillsStrong Communication SkillsProficient knowledge in JavaScript, HTML, and CSS (Python is plus)Proficient knowledge in MYSQL database design and administrationProficient knowledge in RESTful APIs and webhooksExperience in developing web applications in PHP is a plus"
,,,,,,
Pen Tester- Cyber Security Engineer,Fixed Solutions -,"Sheraton, Cairo, Egypt ",Posted 5 days ago,Full Time,Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Engineering · firewalls · Hacking · Information Technology (IT) · Maintenance,"A degree in computer science, IT, systems engineering, or related qualification.Experience with Firewalls (functionality and maintenance), Office 365 Security, VSX, and Endpoint Security.Proficiency in Python, C++, Java, Ruby, Node, Go, and/or Power Shell.Ability to work under pressure in a fast-paced environment.Strong attention to detail with an analytical mind and outstanding problem-solving skills.Great awareness of cybersecurity trends and hacking techniques.Experience with incident detection, incident response, and forensics.Experience with Firewalls (functionality and maintenance), Office 365 Security, VSX, and Endpoint Security.Proficiency in Python, C++, Java, Ruby, Node, Go, and/or Power Shell.Ability to work under pressure in a fast-paced environment.Strong attention to detail with an analytical mind and outstanding problem-solving skills.Great awareness of cybersecurity trends and hacking techniques."
,,,,,,
Head of IT Department,Misr Elkheir Foundation -,"Mokattam, Cairo, Egypt ",Posted 5 days ago,Full Time,Full TimeSenior Management · 10 - 15 Yrs of Exp · IT/Software Development · Operations/Management · CI/CD · Computer Science · Information Technology (IT) · IT · Python · Security · DevOps · CI," Experience in advance analytics & big data,Proficient & experience to advance in programming skills : Python & SQLPrevious experience/understanding in data models and visualization.Cloud experience.Knowledge and/or experience with using or building CI/CD toolsKnowledge of SCRUM and DevOps methodologiesIT Security & Risk – In touch with modern IT security risks and principles.Bachelor or master’s degree in communication engineering or computer science"
,,,,,,
Software Test Lead,RDI -,"Dokki, Giza, Egypt ",Posted 2 days ago,Full Time,Full TimeManager · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Testing · Python Scripting · API · Quality Control · Computer Engineering · Computer Science · Information Technology (IT),"University Degree in Computer Science, Computer Engineering or a related field3+ years of relevant experienceKnowledge with Python scripting is highly recommendedExperience with API testing tools (ex. Postman, Katalon Studio).Experience working with performance testing tools (ex. JMeter).Strong knowledge of automation testing tools (ex. Selenium, Appuim).Security testing background is a mustExperience using penetration testing utilities and tools (e.g., Burp Suite, SQL MAP).Good knowledge of database systemsAbility to support and mentor junior testersCan work with Linux systemsAbility to test programming librariesExperience with mobile testing"
,,,,,,
Senior Robotics Engineer,Icity -,"Maadi, Cairo, Egypt ",Posted 13 days ago,Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Agile · Information Technology (IT) · Robotics · Python · Software · Software Development · Communication skills,"Skills and Experience:B.Sc. in Mechatronics EngineeringPrevious experience as a robotics engineer or similar role (2 to 5 years)Hands on programming robot armsProgramming skills(C,C++, Python)Experience in Robot operating system (ROS,ROS2)Simulation for robotic system is necessary (Gazebo or another simulation software)Familiar with the concepts of SLAMExperience in integrating robotic arms in a systemExperience with PLCFamiliar with communication protocolsAbility to develop and evaluate integrated systemsExperience with embedded software developmentFamiliar with communication protocolsFamiliar with version controlApply Agile methodsExperience in computer vision with robotics is preferredGood Research, analytical reasoning, problem solving and communication skills."
,,,,,,
Data & Analytics Lead,Kashier Payment Solutions -,"Zamalek, Cairo, Egypt ",Posted 8 days ago,Full Time,Full TimeManager · 7+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data · Data Analysis · English · Information Technology (IT) · Python · SQL,Academic background in scientific/quantitative/economic disciplines.7+ years of hands-on experience in the data field.A strong mathematical background is required.Advanced level in either R or Python.Advanced level of SQL.Advanced knowledge of Tableau or a similar visualization tool.Fluency in English.
,,,,,,
Linux System Administrator,Softxpert Incorporation  -,"Alexandria, Egypt ",Posted 2 days ago,Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Administration · Linux · Engineering · Security · System Administration · AWS · Computer Science · English,"System Administrator is needed with the following requirements:Bachelor's degree in computer science/communication engineering or any other related field. (Preferred an ITI - System Administration Track graduate.)2-4 Years system administration/ engineering experience.Strong scripting skills (i.e. Bash, Python).Strong understanding of version control systems (SVN and Git).Strong understanding of virtualization and containerization.Strong understanding of RDBMS (i.e. MySQL, MariaDB).Strong understanding of CI pipelines.Strong understanding of System security.Good knowledge of cloud platforms (AWS, GCP, etc.).Good understanding of Networking.Familiar with PHP, Node and Ruby stacks.Proficiency in business correspondence.Solid experience with working in an environment where products have to be delivered to specific time scales.Strong multi-tasking skills and analysis skills.Excellent communication skillsProficiency in English language, written and spoken.Problem-solving attitude"
,,,,,,
